Nom du cookie;Domaine;Chemin;Durée de Vie;HTTP Only;Sécurisé;SameSite;Catégorie
;;;;;;;Non classifié
xdid;.fr.hotels.com;Persistent;Tierce Partie;False;True;2024-12-14 02:47:46;Suivi/Publicité
EG_SESSIONTOKEN;.hotels.com;Persistent;Tierce Partie;True;True;2024-12-18 09:34:33;Suivi/Publicité
_abck;.hotels.com;Persistent;Tierce Partie;False;True;2024-11-13 09:34:25;Suivi/Publicité
s_ppn;.hotels.com;Persistent;Tierce Partie;False;False;2023-11-14 10:04:24;Suivi/Publicité
AMCV_C00802BE5330A8350A490D4C%40AdobeOrg;.hotels.com;Persistent;Tierce Partie;False;False;2024-12-18 09:34:24;Suivi/Publicité
AWSELBCORS;fr.hotels.com;Persistent;Première-Partie;False;True;2023-11-14 10:34:24;Persistant
AWSELB;fr.hotels.com;Persistent;Première-Partie;False;False;2023-11-14 10:34:24;Persistant
cesc;.hotels.com;Persistent;Tierce Partie;False;True;2024-12-18 09:34:24;Suivi/Publicité
s_ips;.hotels.com;Session;Tierce Partie;False;False;Session;Suivi/Publicité
currency;.hotels.com;Persistent;Tierce Partie;True;True;2024-12-18 09:34:21;Suivi/Publicité
session_id;fr.hotels.com;Session;Première-Partie;False;False;Session;Fonctionnel
s_tp;.hotels.com;Session;Tierce Partie;False;False;Session;Suivi/Publicité
s_ppv;.hotels.com;Session;Tierce Partie;False;False;Session;Suivi/Publicité
AMCVS_C00802BE5330A8350A490D4C%40AdobeOrg;.hotels.com;Session;Tierce Partie;False;False;Session;Suivi/Publicité
bm_sz;.hotels.com;Persistent;Tierce Partie;False;False;2023-11-14 13:34:20;Suivi/Publicité
akacd_pr_20;fr.hotels.com;Persistent;Première-Partie;False;True;2024-01-13 09:34:21;Persistant
OIP;.hotels.com;Persistent;Tierce Partie;False;True;2024-12-18 09:34:21;Suivi/Publicité
linfo;.hotels.com;Persistent;Tierce Partie;False;True;2024-12-18 09:34:33;Suivi/Publicité
tpid;.hotels.com;Persistent;Tierce Partie;False;True;2023-11-25 23:21:01;Suivi/Publicité
DUAID;.hotels.com;Persistent;Tierce Partie;False;True;2024-12-18 09:34:33;Suivi/Publicité
page_name;fr.hotels.com;Session;Première-Partie;False;False;Session;Fonctionnel
HMS;.hotels.com;Persistent;Tierce Partie;False;True;2023-11-14 10:04:33;Suivi/Publicité
CRQS;.hotels.com;Persistent;Tierce Partie;True;True;2024-12-18 09:34:21;Suivi/Publicité
iEAPID;.hotels.com;Session;Tierce Partie;False;True;Session;Suivi/Publicité
MC1;.hotels.com;Persistent;Tierce Partie;False;True;2024-12-18 09:34:33;Suivi/Publicité
CRQSS;.hotels.com;Session;Tierce Partie;True;True;Session;Suivi/Publicité
